Date,Close,Volume,Open,High,Low
07/09/2024,$939.05,226118,$949.71,$955.1528,$938.29
07/08/2024,$952.70,303605,$944.47,$954.05,$935.115
07/05/2024,$939.32,178924,$936.33,$939.99,$927.50
07/03/2024,$935.69,165968,$942.39,$953.03,$929.4801
07/02/2024,$940.64,300986,$943.61,$952.88,$925.03
07/01/2024,$946.30,359904,$975.70,$979.62,$919.24
06/28/2024,$967.95,589377,$978.04,$1004.31,$965.551
06/27/2024,$999.91,328561,$974.55,$1003.0399,$974.55
06/26/2024,$981.26,294512,$977.46,$992.315,$975.00
06/25/2024,$975.32,238992,$988.18,$988.345,$969.21
06/24/2024,$978.08,269282,$980.00,$991.39,$972.82
06/21/2024,$980.14,624072,$988.19,$988.19,$965.515
06/20/2024,$989.44,381719,$1008.10,$1012.45,$980.00
06/18/2024,$1008.39,420355,$1011.64,$1026.41,$1005.10
06/17/2024,$1017.49,373757,$1022.26,$1037.0517,$1011.9901
06/14/2024,$1023.75,201367,$1026.81,$1032.22,$1017.00
06/13/2024,$1030.16,331796,$1033.57,$1035.765,$1015.70
06/12/2024,$1039.52,356143,$1046.63,$1047.39,$1030.005
06/11/2024,$1042.33,241680,$1051.78,$1053.43,$1036.376
06/10/2024,$1054.95,281059,$1036.10,$1056.88,$1031.47
06/07/2024,$1044.31,248018,$1062.63,$1062.63,$1033.44
06/06/2024,$1065.43,254563,$1097.60,$1101.77,$1063.59
06/05/2024,$1093.26,228834,$1065.76,$1095.95,$1062.96
06/04/2024,$1066.83,225318,$1081.19,$1092.20,$1064.23
06/03/2024,$1086.57,264517,$1093.85,$1106.8899,$1075.43
05/31/2024,$1093.92,573211,$1080.78,$1094.62,$1061.74
05/30/2024,$1082.58,417981,$1062.01,$1095.48,$1062.01
05/29/2024,$1064.92,362721,$1077.00,$1083.71,$1064.91
05/28/2024,$1079.14,678104,$1040.00,$1079.87,$1038.06
05/24/2024,$1032.90,949983,$1014.92,$1036.98,$994.50
05/23/2024,$904.65,654100,$901.24,$908.70,$893.4701
05/22/2024,$892.94,316573,$902.34,$904.81,$889.35
05/21/2024,$899.74,322996,$899.61,$910.74,$897.37
05/20/2024,$902.85,312594,$888.63,$913.98,$888.63
05/17/2024,$888.56,319712,$889.92,$898.85,$886.095
05/16/2024,$885.62,287183,$905.20,$910.79,$882.64
05/15/2024,$903.68,394126,$888.00,$916.65,$886.92
05/14/2024,$882.45,354770,$861.30,$886.695,$856.83
05/13/2024,$850.67,303044,$864.40,$864.40,$841.46
05/10/2024,$861.99,222326,$874.55,$876.53,$854.18
05/09/2024,$874.55,265914,$854.20,$876.71,$854.20
05/08/2024,$853.48,280761,$857.44,$861.695,$851.81
05/07/2024,$862.38,260249,$865.41,$881.00,$861.89
05/06/2024,$861.85,296427,$849.99,$867.34,$845.95
05/03/2024,$842.34,223833,$839.02,$845.19,$828.75
05/02/2024,$832.63,195208,$827.89,$835.48,$820.93
05/01/2024,$819.48,289370,$818.18,$839.985,$805.0689
04/30/2024,$818.47,291179,$827.54,$834.445,$815.59
04/29/2024,$832.43,173748,$837.52,$846.08,$831.60
04/26/2024,$833.46,268823,$814.22,$839.35,$811.04
04/25/2024,$806.50,485738,$811.20,$825.00,$788.365
04/24/2024,$851.71,368456,$838.81,$857.425,$831.96
04/23/2024,$829.43,272761,$816.34,$831.78,$813.93
04/22/2024,$810.22,271635,$806.98,$817.70,$804.1467
04/19/2024,$800.38,477872,$815.04,$817.2401,$793.46
04/18/2024,$813.30,308467,$825.06,$831.495,$810.37
04/17/2024,$819.20,379802,$820.69,$827.68,$816.425
04/16/2024,$813.89,330967,$813.54,$818.445,$807.31
04/15/2024,$815.38,481033,$830.00,$830.685,$814.935
04/12/2024,$814.37,325195,$811.74,$821.09,$805.835
04/11/2024,$819.93,435111,$810.94,$823.66,$802.54
04/10/2024,$810.13,889590,$816.66,$824.1343,$791.91
04/09/2024,$867.81,433450,$891.06,$895.05,$847.63
04/08/2024,$888.84,290757,$885.14,$896.70,$875.80
04/05/2024,$879.89,290430,$886.59,$891.31,$873.76
04/04/2024,$877.82,559986,$906.96,$913.57,$873.23
04/03/2024,$900.72,302090,$903.47,$913.225,$899.58
04/02/2024,$903.30,368296,$919.80,$924.925,$883.805
04/01/2024,$930.50,269418,$947.66,$953.9899,$928.93
03/28/2024,$941.26,245212,$937.89,$948.885,$936.605
03/27/2024,$937.90,364261,$941.96,$942.37,$922.89
03/26/2024,$937.45,443676,$931.98,$942.92,$925.30
03/25/2024,$932.59,374939,$930.00,$935.58,$923.1575
03/22/2024,$922.44,462736,$946.31,$946.31,$921.55
03/21/2024,$952.94,439096,$917.64,$956.1676,$914.28
03/20/2024,$915.18,341014,$908.00,$916.25,$900.17
03/19/2024,$908.86,369037,$910.92,$913.875,$895.00
03/18/2024,$908.86,377602,$916.00,$922.75,$903.59
03/15/2024,$909.80,6107148,$931.42,$937.28,$907.18
03/14/2024,$933.05,583799,$945.00,$951.52,$927.31
03/13/2024,$927.66,372530,$915.57,$936.83,$913.30
03/12/2024,$915.05,239829,$901.10,$917.07,$897.00
03/11/2024,$901.66,290656,$909.04,$909.575,$886.935
03/08/2024,$912.20,300704,$913.63,$936.90,$903.1645
03/07/2024,$912.87,264866,$911.99,$918.215,$902.205
03/06/2024,$911.99,266182,$912.00,$920.16,$902.195
03/05/2024,$906.86,338457,$920.01,$931.89,$902.42
03/04/2024,$926.58,791734,$929.20,$939.82,$918.99
03/01/2024,$903.29,309912,$894.85,$911.815,$892.19
02/29/2024,$895.59,480820,$884.12,$896.09,$879.04
02/28/2024,$882.42,257091,$864.14,$883.63,$862.44
02/27/2024,$871.40,273395,$869.20,$875.79,$856.17
02/26/2024,$869.47,334548,$884.86,$889.98,$868.30
02/23/2024,$880.48,230254,$885.74,$897.22,$875.88
02/22/2024,$884.06,349356,$872.00,$887.98,$867.19
02/21/2024,$861.66,247459,$860.68,$866.75,$853.15
02/20/2024,$860.68,301727,$858.98,$868.565,$854.6625
02/16/2024,$862.98,259124,$870.30,$878.68,$862.06
02/15/2024,$870.77,274649,$860.00,$877.045,$852.19
02/14/2024,$848.10,260481,$844.01,$853.34,$835.00
02/13/2024,$836.67,241183,$825.25,$844.465,$824.38
02/12/2024,$844.67,403664,$840.19,$854.35,$839.39
02/09/2024,$845.22,257537,$835.50,$849.935,$835.50
02/08/2024,$832.42,265944,$836.54,$849.95,$830.94
02/07/2024,$833.33,520766,$825.39,$834.27,$819.01
02/06/2024,$825.35,503815,$851.41,$852.595,$815.095
02/05/2024,$851.41,454016,$871.49,$879.03,$850.24
02/02/2024,$882.06,1120186,$835.72,$903.7049,$828.92
02/01/2024,$772.85,563621,$759.76,$778.31,$757.445
01/31/2024,$753.73,413665,$768.86,$771.14,$750.87
01/30/2024,$773.54,291775,$774.76,$776.07,$765.37
01/29/2024,$774.76,222591,$767.05,$775.49,$760.95
01/26/2024,$767.79,197263,$767.00,$768.395,$762.665
01/25/2024,$761.01,270479,$755.18,$764.43,$751.145
01/24/2024,$750.62,250588,$758.09,$759.88,$740.00
01/23/2024,$754.15,283238,$764.55,$767.20,$747.20
01/22/2024,$767.70,384272,$752.80,$768.41,$743.11
01/19/2024,$749.25,279040,$744.26,$749.49,$737.07
01/18/2024,$736.71,318481,$728.82,$738.33,$721.39
01/17/2024,$724.49,215772,$718.78,$725.65,$713.085
01/16/2024,$721.78,350339,$705.46,$723.19,$702.12
01/12/2024,$706.68,162225,$704.48,$708.3399,$697.025
01/11/2024,$703.70,250132,$698.14,$705.66,$693.85
01/10/2024,$695.91,205506,$698.52,$700.00,$688.05
01/09/2024,$696.92,271912,$685.83,$702.715,$684.64
01/08/2024,$684.74,375975,$660.10,$685.11,$659.99
01/05/2024,$652.29,367940,$674.47,$678.00,$651.89
01/04/2024,$672.22,268900,$672.95,$679.31,$670.42
01/03/2024,$678.34,370157,$674.63,$682.58,$667.36
