decker_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
1,01/03/23,404.580000,404.650000,387.160000,389.230000,428700,391.840000,18206,0.000000,0.000000
2,01/04/23,389.570000,397.120000,387.060000,389.940000,454844,391.120000,16179,0.001820,9.120000
3,01/05/23,388.300000,397.780000,382.560000,395.080000,306583,393.190000,10475,0.013180,66.030000
4,01/06/23,399.810000,402.770000,395.210000,397.570000,307914,397.810000,14142,0.006300,31.990000
5,01/09/23,394.090000,412.940000,392.210000,405.850000,457861,404.890000,19991,0.020830,106.360000
6,01/10/23,407.670000,413.340000,402.250000,406.000000,359981,406.340000,12652,0.000370,1.930000
7,01/11/23,406.150000,411.320000,406.150000,410.460000,388642,408.920000,14039,0.010990,57.290000
8,01/12/23,411.990000,419.090000,408.610000,416.720000,322516,416.000000,10968,0.015250,80.420000
9,01/13/23,413.180000,422.680000,413.110000,420.920000,358849,419.790000,11441,0.010080,53.950000
10,01/17/23,418.320000,423.840000,417.990000,420.000000,252997,420.620000,9905,-0.002190,-11.820000
11,01/18/23,420.350000,427.010000,420.010000,420.340000,311209,422.680000,10817,0.000810,4.370000
12,01/19/23,419.120000,422.050000,415.720000,416.940000,346862,418.450000,12285,-0.008090,-43.680000
13,01/20/23,418.000000,420.420000,414.260000,418.000000,265348,417.560000,10511,0.002540,13.620000
14,01/23/23,422.360000,428.130000,419.880000,422.280000,288001,423.010000,11223,0.010240,54.980000
15,01/24/23,419.000000,425.200000,416.580000,422.740000,250519,422.340000,8934,0.001090,5.910000
16,01/25/23,419.290000,421.850000,411.070000,420.550000,347472,418.100000,11843,-0.005180,-28.130000
17,01/26/23,426.280000,428.030000,416.240000,421.020000,374085,420.200000,12189,0.001120,6.040000
18,01/27/23,419.530000,428.220000,419.530000,426.510000,514717,424.710000,12441,0.013040,70.520000
19,01/30/23,424.330000,430.720000,419.910000,420.350000,374915,424.190000,12464,-0.014440,-79.130000
20,01/31/23,422.320000,427.480000,417.230000,427.480000,475763,423.120000,13924,0.016960,91.590000
21,02/01/23,424.080000,430.630000,418.500000,428.390000,399101,424.980000,14386,0.002130,11.690000
22,02/02/23,430.340000,433.300000,417.160000,421.330000,699120,422.990000,21742,-0.016480,-90.690000
23,02/03/23,415.290000,424.920000,409.050000,414.360000,715844,416.620000,22679,-0.016540,-89.540000
24,02/06/23,408.620000,419.730000,408.610000,416.220000,403863,415.300000,16382,0.004490,23.890000
