,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
2,01/03/23,42.400000,42.640000,42.030000,42.200000,11990004.000000,42.230000,38830,0.000000,0.000000
3,01/04/23,42.850000,42.950000,42.520000,42.830000,13229545.000000,42.810000,42125,0.014930,223.930000
4,01/05/23,42.420000,42.530000,42.270000,42.350000,9324542.000000,42.400000,30234,-0.011210,-170.620000
5,01/06/23,42.660000,43.550000,42.450000,43.520000,10441417.000000,43.260000,29984,0.027630,415.880000
6,01/09/23,43.890000,44.140000,43.710000,43.710000,12426293.000000,43.950000,40155,0.004370,67.540000
7,01/10/23,43.690000,43.830000,43.540000,43.820000,11491990.000000,43.730000,38790,0.002520,39.100000
8,01/11/23,44.050000,44.160000,43.880000,44.150000,14000588.000000,44.020000,35986,0.007530,117.300000
9,01/12/23,44.530000,44.860000,44.040000,44.790000,12836803.000000,44.650000,39180,0.014500,227.490000
10,01/13/23,44.610000,45.050000,44.560000,45.020000,9144263.000000,44.880000,29883,0.005140,81.750000
11,01/17/23,45.140000,45.350000,45.050000,45.150000,12862246.000000,45.150000,41705,0.002890,46.210000
12,01/18/23,45.670000,45.730000,44.940000,44.950000,13196964.000000,45.210000,42723,-0.004430,-71.090000
13,01/19/23,44.870000,45.020000,44.660000,44.900000,13017327.000000,44.860000,26510,-0.001110,-17.770000
14,01/20/23,44.880000,45.360000,44.800000,45.360000,19859864.000000,45.100000,27572,0.010240,163.510000
15,01/23/23,45.200000,45.600000,45.160000,45.550000,14611006.000000,45.440000,37557,0.004190,67.540000
16,01/24/23,45.300000,45.610000,45.170000,45.540000,8094303.000000,45.470000,28311,-0.000220,-3.550000
17,01/25/23,45.380000,45.800000,45.280000,45.770000,9955245.000000,45.530000,30125,0.005050,81.750000
18,01/26/23,45.860000,45.930000,45.510000,45.910000,15609091.000000,45.780000,30911,0.003060,49.760000
19,01/27/23,45.650000,45.960000,45.610000,45.860000,11993637.000000,45.830000,33765,-0.001090,-17.770000
