forex_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
1,01/01/23,1.201500,1.208370,1.201500,1.208370,7,1.204100,7,0.000000,0.000000
2,01/02/23,1.209400,1.211400,1.203140,1.206200,65508,1.205600,65508,-0.001800,-17.960000
3,01/03/23,1.206210,1.208500,1.190000,1.196530,249183,1.199500,249183,-0.008020,-80.030000
4,01/04/23,1.196550,1.208750,1.196400,1.205560,260372,1.203900,260372,0.007550,74.730000
5,01/05/23,1.205560,1.207710,1.187290,1.190700,248129,1.197200,248129,-0.012330,-122.980000
6,01/06/23,1.190770,1.209910,1.184000,1.209200,257736,1.194600,257736,0.015540,153.100000
7,01/08/23,1.209170,1.211980,1.207070,1.211930,5832,1.210400,5832,0.002260,22.590000
8,01/09/23,1.211930,1.221000,1.209200,1.218320,250913,1.216000,250913,0.005270,52.880000
9,01/10/23,1.218330,1.219800,1.210900,1.215070,250200,1.215900,250200,-0.002670,-26.900000
10,01/11/23,1.215290,1.217810,1.209900,1.215780,240863,1.214100,240863,0.000580,5.880000
11,01/12/23,1.215770,1.224700,1.208830,1.221400,265329,1.217400,265329,0.004620,46.510000
12,01/13/23,1.221590,1.224830,1.214900,1.223000,241223,1.220500,241223,0.001310,13.240000
13,01/14/23,1.222900,1.222900,1.222900,1.222900,4,1.222900,4,-0.000080,-0.830000
14,01/15/23,1.218070,1.223320,1.218070,1.222230,5881,1.222700,5881,-0.000550,-5.540000
15,01/16/23,1.220150,1.221130,1.217800,1.220710,95950,1.219700,95950,-0.001240,-12.580000
16,01/17/23,1.222230,1.230040,1.219100,1.228300,177562,1.225500,177562,0.006220,62.810000
17,01/18/23,1.240330,1.241670,1.232600,1.234500,76435,1.234900,76435,0.005050,51.310000
18,01/19/23,1.234460,1.239800,1.231200,1.239170,239967,1.234800,239967,0.003780,38.650000
19,01/20/23,1.233960,1.240500,1.233400,1.238800,88833,1.237900,88833,-0.000300,-3.060000
20,01/22/23,1.237300,1.241410,1.235570,1.240520,4976,1.240700,4976,0.001390,14.230000
21,01/23/23,1.240180,1.242430,1.232200,1.237800,162649,1.237200,162649,-0.002190,-22.510000
22,01/24/23,1.238040,1.241380,1.226290,1.233080,190698,1.233000,190698,-0.003810,-39.060000
23,01/25/23,1.232400,1.241900,1.228200,1.240970,183493,1.234500,183493,0.006400,65.290000
24,01/26/23,1.238580,1.242000,1.234370,1.241400,99016,1.238600,99016,0.000350,3.560000
25,01/27/23,1.236180,1.240000,1.234400,1.238000,88386,1.238000,88386,-0.002740,-28.140000
26,01/28/23,1.239800,1.239800,1.238100,1.238100,2,1.239000,2,0.000080,0.830000
27,01/29/23,1.238490,1.240040,1.238290,1.239950,5156,1.239600,5156,0.001490,15.310000
28,01/30/23,1.241480,1.241740,1.232970,1.234770,124096,1.237200,124096,-0.004180,-42.870000
29,01/31/23,1.235010,1.237060,1.228300,1.230800,216141,1.232600,216141,-0.003220,-32.850000
30,02/01/23,1.231400,1.240000,1.227220,1.238690,203942,1.233100,203942,0.006410,65.290000
31,02/02/23,1.237430,1.239350,1.221740,1.221910,199093,1.228700,199093,-0.013550,-138.860000
32,02/03/23,1.221920,1.226540,1.204500,1.204700,235308,1.216000,235308,-0.014080,-142.420000
33,02/04/23,1.205300,1.205300,1.204800,1.204800,4,1.205100,4,0.000080,0.830000
34,02/05/23,1.204500,1.205640,1.202750,1.204280,6697,1.204600,6697,-0.000430,-4.300000
35,02/06/23,1.204280,1.207720,1.200400,1.202540,218061,1.204100,218061,-0.001440,-14.400000
36,02/07/23,1.202560,1.209530,1.196000,1.205300,243114,1.201800,243114,0.002300,22.840000
37,02/08/23,1.205310,1.211000,1.203700,1.207000,218515,1.207400,218515,0.001410,14.070000
38,02/09/23,1.206870,1.219400,1.205500,1.211470,227331,1.212600,227331,0.003700,36.990000
39,02/10/23,1.211480,1.213930,1.198950,1.206300,225973,1.209500,225973,-0.004270,-42.780000
40,02/11/23,1.205900,1.206200,1.205900,1.206200,2,1.206000,2,-0.000080,-0.830000
41,02/13/23,1.204350,1.215200,1.202900,1.214990,167293,1.209300,167293,0.007290,72.740000
42,02/14/23,1.214830,1.226980,1.211710,1.217280,259300,1.217000,259300,0.001880,18.950000
43,02/15/23,1.217300,1.218100,1.198800,1.203610,231080,1.206800,231080,-0.011230,-113.130000
44,02/16/23,1.203620,1.207410,1.196400,1.197340,246932,1.202400,246932,-0.005210,-51.890000
45,02/17/23,1.197340,1.205100,1.191400,1.204300,216840,1.197200,216840,0.005810,57.600000
46,02/18/23,1.203600,1.204200,1.203600,1.204200,2,1.203900,2,-0.000080,-0.830000
47,02/19/23,1.202140,1.204560,1.202140,1.202840,5654,1.202900,5654,-0.001130,-11.250000
48,02/20/23,1.202940,1.205680,1.201300,1.203660,180909,1.203200,180909,0.000680,6.790000
49,02/21/23,1.203780,1.214780,1.198500,1.210770,237289,1.207500,237289,0.005910,58.840000
50,02/22/23,1.210760,1.213510,1.203390,1.204640,231762,1.208900,231762,-0.005060,-50.730000
51,02/23/23,1.204630,1.207500,1.199100,1.201570,228167,1.203700,228167,-0.002550,-25.410000
