,Date,Nike,Hoka
0,01/01/23,78,54
1,01/08/23,74,55
2,01/15/23,71,56
3,01/22/23,70,52
4,01/29/23,70,56
5,02/05/23,70,57
6,02/12/23,67,58
7,02/19/23,71,64
8,02/26/23,72,59
9,03/05/23,73,60
10,03/12/23,73,60
11,03/19/23,72,68
12,03/26/23,73,67
13,04/02/23,75,73
14,04/09/23,79,72
15,04/16/23,80,73
16,04/23/23,71,70
17,04/30/23,72,72
18,05/07/23,71,73
19,05/14/23,74,72
20,05/21/23,69,70
21,05/28/23,73,69
22,06/04/23,71,73
23,06/11/23,68,74
24,06/18/23,65,75
25,06/25/23,64,78
26,07/02/23,73,78
27,07/09/23,68,77
28,07/16/23,67,78
29,07/23/23,72,77
30,07/30/23,73,79
31,08/06/23,73,82
32,08/13/23,71,81
33,08/20/23,73,76
34,08/27/23,73,80
35,09/03/23,71,76
36,09/10/23,66,70
37,09/17/23,71,67
38,09/24/23,71,69
39,10/01/23,71,66
40,10/08/23,71,69
41,10/15/23,69,63
42,10/22/23,66,63
43,10/29/23,67,63
44,11/05/23,71,67
45,11/12/23,78,73
46,11/19/23,100,96
47,11/26/23,85,82
48,12/03/23,82,67
49,12/10/23,85,66
50,12/17/23,78,68
51,12/24/23,79,84
52,12/31/23,69,81
53,01/07/24,69,73
54,01/14/24,63,67
55,01/21/24,58,71
56,01/28/24,62,82
57,02/04/24,63,78
58,02/11/24,64,73
59,02/18/24,66,83
60,02/25/24,62,86
61,03/03/24,65,88
62,03/10/24,64,81
63,03/17/24,67,96
64,03/24/24,68,91
65,03/31/24,68,91
66,04/07/24,67,94
67,04/14/24,71,98
68,04/21/24,65,94
69,04/28/24,68,100
70,05/05/24,63,98
71,05/12/24,61,89
72,05/19/24,63,91
73,05/26/24,63,96
74,06/02/24,63,95
75,06/09/24,63,100
76,06/16/24,58,94
77,06/23/24,61,92
78,06/30/24,61,92
79,07/07/24,61,96
