ndx_id,Date,Close,Open,High,Low,Percent Change
1,01/03/23,10862.640000,11038.420000,11093.100000,10770.930000,0.000000
2,01/04/23,10914.800000,10949.340000,10981.460000,10785.530000,0.004800
3,01/05/23,10741.220000,10837.250000,10842.330000,10728.260000,-0.015900
4,01/06/23,11040.350000,10807.450000,11082.590000,10696.420000,0.027850
5,01/09/23,11108.440000,11133.070000,11304.840000,11085.320000,0.006170
6,01/10/23,11205.780000,11069.050000,11207.560000,11050.680000,0.008760
7,01/11/23,11402.520000,11259.160000,11403.890000,11220.750000,0.017560
8,01/12/23,11459.610000,11441.450000,11500.860000,11246.020000,0.005010
9,01/13/23,11541.480000,11362.130000,11547.960000,11347.600000,0.007140
10,01/17/23,11557.190000,11531.540000,11615.950000,11484.020000,0.001360
11,01/18/23,11410.290000,11636.610000,11690.270000,11403.310000,-0.012710
12,01/19/23,11295.670000,11345.190000,11388.460000,11251.940000,-0.010050
13,01/20/23,11619.030000,11363.850000,11623.200000,11329.540000,0.028630
14,01/23/23,11872.540000,11652.000000,11918.860000,11617.830000,0.021820
15,01/24/23,11846.640000,11802.950000,11889.370000,11780.070000,-0.002180
16,01/25/23,11814.690000,11636.010000,11841.810000,11550.070000,-0.002700
17,01/26/23,12051.480000,11972.570000,12055.810000,11853.370000,0.020040
18,01/27/23,12166.600000,12000.210000,12248.150000,11999.870000,0.009550
19,01/30/23,11912.390000,12047.160000,12087.680000,11906.110000,-0.020890
20,01/31/23,12101.930000,11915.940000,12104.130000,11915.940000,0.015910
21,02/01/23,12363.100000,12087.920000,12458.870000,12010.730000,0.021580
22,02/02/23,12803.140000,12655.180000,12880.980000,12600.760000,0.035590
23,02/03/23,12573.360000,12520.950000,12828.710000,12520.950000,-0.017950
24,02/06/23,12464.510000,12468.800000,12558.870000,12411.880000,-0.008660
25,02/07/23,12728.270000,12474.950000,12771.590000,12419.710000,0.021160
26,02/08/23,12495.380000,12680.030000,12709.450000,12471.110000,-0.018300
27,02/09/23,12381.170000,12677.540000,12679.540000,12327.440000,-0.009140
28,02/10/23,12304.920000,12306.590000,12375.720000,12204.210000,-0.006160
29,02/13/23,12502.310000,12356.500000,12522.780000,12313.450000,0.016040
30,02/14/23,12590.890000,12413.100000,12627.400000,12356.320000,0.007090
31,02/15/23,12687.890000,12531.600000,12689.340000,12486.420000,0.007700
32,02/16/23,12442.480000,12495.070000,12653.400000,12440.000000,-0.019340
33,02/17/23,12358.180000,12352.300000,12385.520000,12233.790000,-0.006780
34,02/21/23,12060.300000,12205.210000,12257.060000,12058.230000,-0.024100
35,02/22/23,12066.270000,12085.670000,12156.210000,12006.040000,0.000500
36,02/23/23,12180.140000,12224.440000,12227.400000,12003.310000,0.009440
37,02/24/23,11969.650000,11979.800000,12018.320000,11900.840000,-0.017280
38,02/27/23,12057.790000,12106.790000,12159.640000,12034.610000,0.007360
39,02/28/23,12042.120000,12041.750000,12146.520000,12021.320000,-0.001300
40,03/01/23,11938.570000,12026.720000,12054.480000,11906.580000,-0.008600
41,03/02/23,12044.870000,11830.090000,12074.590000,11830.090000,0.008900
42,03/03/23,12290.810000,12110.710000,12300.460000,12095.240000,0.020420
43,03/06/23,12302.480000,12344.650000,12466.880000,12297.570000,0.000950
44,03/07/23,12152.170000,12303.190000,12344.040000,12130.010000,-0.012220
45,03/08/23,12215.330000,12181.060000,12237.720000,12102.280000,0.005200
