Date,Close,Volume,Open,High,Low
07/09/2024,$72.46,23502450,$73.30,$74.14,$72.38
07/08/2024,$73.05,29905040,$75.41,$75.49,$73.00
07/05/2024,$75.43,19603690,$75.36,$76.09,$74.78
07/03/2024,$75.24,15952010,$75.50,$75.92,$75.0199
07/02/2024,$76.04,26183350,$76.82,$76.94,$75.39
07/01/2024,$76.83,44369010,$75.50,$77.06,$74.29
06/28/2024,$75.37,129967000,$77.13,$79.05,$74.55
06/27/2024,$94.19,25772730,$93.77,$94.74,$93.39
06/26/2024,$94.06,10160430,$94.09,$94.48,$93.15
06/25/2024,$94.75,9036181,$97.31,$97.64,$94.50
06/24/2024,$97.17,9466888,$97.30,$98.04,$96.68
06/21/2024,$97.18,15569880,$95.96,$97.209,$95.42
06/20/2024,$95.57,9393767,$93.88,$96.09,$93.5216
06/18/2024,$94.78,6712037,$94.67,$95.26,$94.21
06/17/2024,$95.00,6365370,$92.01,$95.12,$92.01
06/14/2024,$93.39,7426757,$93.80,$94.78,$93.3002
06/13/2024,$94.18,8348214,$94.04,$94.53,$93.72
06/12/2024,$93.68,9861264,$96.35,$96.50,$93.50
06/11/2024,$95.87,7301545,$95.52,$95.995,$94.52
06/10/2024,$96.00,7035626,$95.73,$96.99,$95.5953
06/07/2024,$96.55,9397364,$95.39,$97.94,$95.30
06/06/2024,$95.72,9760077,$94.86,$96.795,$93.99
06/05/2024,$94.32,7463299,$95.315,$95.32,$93.70
06/04/2024,$94.74,7838435,$94.29,$95.11,$93.41
06/03/2024,$94.40,9668106,$94.52,$95.25,$94.05
05/31/2024,$95.05,12565600,$93.50,$95.07,$92.97
05/30/2024,$93.45,9310016,$92.23,$93.875,$91.96
05/29/2024,$91.67,7237340,$91.68,$92.72,$91.38
05/28/2024,$92.00,10834960,$91.74,$92.515,$91.35
05/24/2024,$91.75,6937118,$91.77,$92.2001,$91.49
05/23/2024,$91.40,7729024,$92.45,$92.58,$91.15
05/22/2024,$92.50,7611906,$91.95,$92.76,$91.65
05/21/2024,$92.82,7809654,$91.57,$92.85,$91.45
05/20/2024,$91.77,9701510,$92.25,$92.70,$90.83
05/17/2024,$92.18,12019570,$92.01,$92.29,$91.34
05/16/2024,$91.77,12711680,$91.69,$92.84,$91.53
05/15/2024,$91.67,15614450,$92.29,$92.62,$90.85
05/14/2024,$92.79,7810983,$92.99,$94.34,$92.60
05/13/2024,$92.72,8792060,$91.27,$92.77,$91.15
05/10/2024,$90.94,10548410,$93.07,$93.135,$90.88
05/09/2024,$93.39,6429824,$93.64,$93.98,$93.01
05/08/2024,$93.59,5372900,$93.12,$93.64,$92.73
05/07/2024,$93.78,7113455,$94.08,$94.315,$93.21
05/06/2024,$93.36,6696303,$92.81,$93.37,$92.48
05/03/2024,$92.15,5736711,$93.09,$93.65,$91.87
05/02/2024,$92.41,7333343,$91.33,$92.45,$90.91
05/01/2024,$90.34,9784643,$91.81,$91.87,$90.09
04/30/2024,$92.26,6493259,$92.91,$93.51,$92.25
04/29/2024,$94.06,5034546,$94.44,$94.89,$93.70
04/26/2024,$94.12,6115744,$94.59,$95.4174,$93.91
04/25/2024,$93.94,5317852,$94.00,$94.7891,$92.44
04/24/2024,$94.64,6493208,$94.10,$95.1909,$94.10
04/23/2024,$94.02,6582696,$94.37,$94.72,$93.91
04/22/2024,$94.19,8641953,$94.63,$95.06,$93.85
04/19/2024,$94.53,11241900,$95.42,$96.22,$94.49
04/18/2024,$95.74,10062900,$95.16,$95.88,$94.53
04/17/2024,$94.84,10181180,$94.61,$95.07,$93.66
04/16/2024,$93.39,10388150,$93.04,$94.19,$91.65
04/15/2024,$93.10,11597330,$93.59,$93.92,$92.54
04/12/2024,$92.00,10905920,$92.01,$92.87,$91.12
04/11/2024,$92.00,15330200,$91.23,$92.41,$90.83
04/10/2024,$89.00,7932933,$89.90,$90.10,$88.77
04/09/2024,$91.00,7194564,$90.00,$91.16,$89.87
04/08/2024,$90.00,8452543,$89.11,$90.26,$88.80
04/05/2024,$88.84,9716682,$89.15,$90.25,$88.80
04/04/2024,$89.07,12110260,$90.95,$91.05,$88.89
04/03/2024,$90.33,8876598,$91.01,$91.44,$90.28
04/02/2024,$90.95,11107330,$91.76,$91.90,$90.635
04/01/2024,$92.56,10360010,$93.81,$93.92,$91.691
03/28/2024,$93.98,11331680,$94.37,$94.8142,$93.43
03/27/2024,$94.13,11095680,$93.27,$94.15,$92.32
03/26/2024,$92.58,10816950,$93.74,$93.86,$92.41
03/25/2024,$93.75,14548770,$94.07,$95.52,$92.77
03/22/2024,$93.86,41837410,$93.845,$95.17,$91.72
03/21/2024,$100.82,17176010,$100.44,$101.92,$99.76
03/20/2024,$100.27,7771693,$99.45,$100.44,$99.03
03/19/2024,$99.96,6168856,$98.50,$100.04,$98.44
03/18/2024,$98.74,7206957,$98.98,$99.655,$98.5203
03/15/2024,$99.64,15208540,$100.30,$101.16,$99.34
03/14/2024,$100.26,8350939,$102.20,$102.49,$100.091
03/13/2024,$101.36,7326384,$100.61,$102.00,$100.3301
03/12/2024,$100.18,7040889,$100.79,$101.365,$99.65
03/11/2024,$101.08,8537402,$99.90,$101.76,$99.44
