nike_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
1,01/03/23,118.550000,119.490000,117.440000,118.750000,8108770.000000,118.650000,112709,0.000000,0.000000
2,01/04/23,119.960000,122.230000,119.530000,121.210000,8550659.000000,120.990000,117958,0.020720,414.320000
3,01/05/23,120.280000,122.340000,120.080000,120.620000,6046737.000000,121.160000,90011,-0.004870,-99.370000
4,01/06/23,122.000000,125.360000,121.770000,124.530000,10080654.000000,124.130000,141404,0.032420,658.530000
5,01/09/23,125.000000,126.610000,124.550000,124.850000,9397868.000000,125.520000,132578,0.002570,53.890000
6,01/10/23,125.210000,126.330000,124.370000,125.840000,5899920.000000,125.540000,92488,0.007930,166.740000
7,01/11/23,126.320000,128.260000,126.010000,127.940000,6989184.000000,127.600000,92767,0.016690,353.680000
8,01/12/23,128.350000,128.460000,126.460000,127.890000,8366442.000000,127.490000,124541,-0.000390,-8.420000
9,01/13/23,126.660000,129.230000,126.660000,128.850000,4856475.000000,128.310000,79306,0.007510,161.680000
10,01/17/23,128.000000,129.050000,127.830000,128.140000,6163770.000000,128.400000,89931,-0.005510,-119.580000
11,01/18/23,127.800000,128.590000,126.000000,126.430000,6828808.000000,126.780000,75040,-0.013340,-288.000000
12,01/19/23,124.790000,125.440000,123.610000,124.530000,5273493.000000,124.440000,71612,-0.015030,-320.000000
13,01/20/23,124.680000,126.640000,124.040000,126.620000,5673181.000000,125.760000,66881,0.016780,352.000000
14,01/23/23,126.900000,128.740000,126.540000,128.290000,5581559.000000,128.000000,84773,0.013190,281.260000
15,01/24/23,123.580000,128.000000,112.360000,126.830000,5479327.000000,127.270000,79086,-0.011380,-245.890000
16,01/25/23,125.860000,127.010000,124.830000,126.820000,5933516.000000,126.270000,84435,-0.000080,-1.680000
17,01/26/23,128.460000,128.990000,126.010000,127.530000,5838801.000000,127.200000,81916,0.005600,119.580000
18,01/27/23,127.070000,128.580000,126.700000,127.530000,5730012.000000,127.580000,72254,0.000000,0.000000
19,01/30/23,126.500000,127.560000,126.200000,126.370000,6494692.000000,126.590000,83387,-0.009100,-195.370000
20,01/31/23,126.420000,127.850000,126.010000,127.330000,7687083.000000,127.150000,71045,0.007600,161.680000
21,02/01/23,127.900000,130.220000,126.220000,129.500000,6387919.000000,128.150000,90209,0.017040,365.470000
22,02/02/23,130.450000,131.310000,127.860000,129.060000,5214452.000000,129.620000,80286,-0.003400,-74.110000
23,02/03/23,126.790000,129.420000,126.440000,127.610000,4930209.000000,127.800000,79757,-0.011240,-244.210000
24,02/06/23,125.520000,126.100000,124.320000,125.730000,4666535.000000,125.370000,78092,-0.014730,-316.630000
25,02/07/23,123.960000,125.930000,123.250000,125.330000,5288935.000000,124.640000,70085,-0.003180,-67.370000
26,02/08/23,123.380000,124.100000,121.800000,122.910000,5877807.000000,122.750000,89607,-0.019310,-407.580000
27,02/09/23,124.710000,125.020000,121.500000,122.180000,5928984.000000,122.780000,84264,-0.005940,-122.950000
28,02/10/23,121.510000,122.640000,120.540000,122.230000,5195451.000000,121.860000,71189,0.000410,8.420000
29,02/13/23,122.820000,125.720000,122.460000,125.150000,5689778.000000,124.920000,76250,0.023890,491.790000
30,02/14/23,123.950000,126.360000,123.740000,126.200000,4845860.000000,125.590000,69192,0.008390,176.840000
31,02/15/23,124.900000,127.500000,124.900000,127.480000,5689700.000000,126.700000,82989,0.010140,215.580000
32,02/16/23,125.430000,127.210000,124.110000,124.380000,4722184.000000,125.430000,64173,-0.024320,-522.100000
33,02/17/23,123.710000,124.890000,123.440000,124.840000,5161724.000000,124.390000,65924,0.003700,77.470000
34,02/21/23,123.280000,124.000000,120.980000,121.100000,5110256.000000,121.820000,70781,-0.029960,-629.890000
35,02/22/23,121.100000,121.400000,119.640000,119.900000,5021991.000000,120.370000,65613,-0.009910,-202.110000
36,02/23/23,120.760000,120.760000,118.550000,119.960000,4101920.000000,119.620000,60624,0.000500,10.110000
37,02/24/23,117.970000,118.740000,117.340000,118.040000,4693002.000000,118.060000,71265,-0.016010,-323.370000
38,02/27/23,119.260000,119.820000,118.320000,118.530000,4240017.000000,118.830000,63517,0.004150,82.530000
39,02/28/23,118.740000,120.400000,117.840000,118.790000,8414063.000000,119.050000,76793,0.002190,43.790000
40,03/01/23,117.950000,119.790000,117.830000,118.580000,4120488.000000,118.660000,67329,-0.001770,-35.370000
41,03/02/23,117.550000,119.960000,117.550000,119.580000,4443207.000000,119.140000,59978,0.008430,168.420000
42,03/03/23,120.130000,121.040000,119.020000,120.940000,3871822.000000,120.510000,56330,0.011370,229.050000
43,03/06/23,121.130000,121.990000,119.960000,120.170000,5033814.000000,120.730000,74351,-0.006370,-129.680000
44,03/07/23,120.200000,121.020000,119.230000,119.590000,5345746.000000,119.850000,73600,-0.004830,-97.680000
45,03/08/23,119.270000,120.040000,118.730000,119.860000,4175226.000000,119.480000,63166,0.002260,45.470000
46,03/09/23,120.080000,121.860000,117.550000,117.870000,5635879.000000,119.610000,81531,-0.016600,-335.160000
47,03/10/23,118.830000,118.990000,116.640000,117.490000,5979635.000000,117.750000,92560,-0.003220,-64.000000
48,03/13/23,115.820000,118.290000,115.790000,116.860000,6038216.000000,117.180000,84308,-0.005360,-106.110000
49,03/14/23,119.000000,119.490000,117.230000,119.000000,6050822.000000,118.740000,81877,0.018310,360.420000
50,03/15/23,116.320000,118.620000,115.810000,118.170000,6599249.000000,117.470000,94953,-0.006970,-139.790000
51,03/16/23,116.860000,120.810000,116.610000,120.650000,5644022.000000,119.920000,82092,0.020990,417.680000
52,03/17/23,121.170000,121.730000,118.670000,120.390000,12868912.000000,120.260000,110235,-0.002150,-43.790000
53,03/20/23,120.990000,122.680000,119.810000,121.200000,7594101.000000,121.090000,99474,0.006730,136.420000
54,03/21/23,123.500000,126.060000,122.970000,125.610000,15078777.000000,124.910000,165072,0.036390,742.740000
55,03/22/23,123.660000,125.260000,119.330000,119.500000,17625504.000000,122.550000,207751,-0.048640,-1029.050000
56,03/23/23,120.470000,123.270000,119.460000,120.970000,7628073.000000,121.310000,108234,0.012300,247.580000
57,03/24/23,120.230000,121.000000,119.320000,120.710000,6163391.000000,120.160000,90763,-0.002150,-43.790000
58,03/27/23,121.020000,121.070000,117.610000,117.810000,6564242.000000,118.390000,90362,-0.024020,-488.420000
59,03/28/23,117.950000,118.440000,116.850000,117.870000,4461446.000000,117.590000,68765,0.000510,10.110000
60,03/29/23,118.640000,120.570000,118.490000,120.490000,5644018.000000,119.840000,72123,0.022230,441.260000
61,03/30/23,121.030000,121.440000,119.340000,120.100000,4578912.000000,120.250000,67895,-0.003240,-65.680000
62,03/31/23,120.920000,122.710000,120.600000,122.640000,5659422.000000,122.050000,67449,0.021150,427.790000
63,04/03/23,122.500000,122.850000,120.820000,121.670000,4838399.000000,121.640000,67937,-0.007910,-163.370000
64,04/04/23,121.380000,123.940000,121.360000,123.690000,5895258.000000,123.190000,86956,0.016600,340.210000
65,04/05/23,123.000000,123.330000,120.560000,120.900000,4331407.000000,121.230000,73772,-0.022560,-469.890000
66,04/06/23,119.510000,120.490000,117.850000,120.220000,4256901.000000,119.650000,68269,-0.005620,-114.530000
67,04/10/23,119.300000,121.910000,119.130000,121.910000,3731236.000000,121.210000,64012,0.014060,284.630000
68,04/11/23,122.040000,124.080000,122.040000,123.300000,4470956.000000,123.220000,66627,0.011400,234.110000
69,04/12/23,124.760000,124.860000,123.220000,123.660000,4525132.000000,123.930000,72075,0.002920,60.630000
70,04/13/23,124.640000,126.670000,124.460000,126.430000,5355297.000000,125.950000,72581,0.022400,466.530000
71,04/14/23,127.000000,127.490000,125.490000,125.950000,4828882.000000,126.190000,73910,-0.003800,-80.840000
72,04/17/23,126.030000,126.480000,125.130000,126.190000,3917912.000000,125.860000,63383,0.001910,40.420000
73,04/18/23,127.230000,127.280000,125.020000,126.210000,3857914.000000,126.160000,72879,0.000160,3.370000
74,04/19/23,126.000000,126.080000,124.920000,125.670000,3547598.000000,125.670000,59351,-0.004280,-90.950000
75,04/20/23,124.800000,125.350000,123.710000,124.450000,3891706.000000,124.550000,59767,-0.009710,-205.470000
76,04/21/23,124.400000,125.680000,123.620000,125.530000,3651389.000000,124.940000,64977,0.008680,181.890000
77,04/24/23,125.510000,127.130000,125.140000,127.090000,3790923.000000,126.240000,68975,0.012430,262.740000
78,04/25/23,126.530000,126.770000,124.050000,124.660000,4383342.000000,124.990000,68062,-0.019120,-409.260000
79,04/26/23,124.210000,124.980000,123.290000,123.840000,4003190.000000,124.010000,65736,-0.006580,-138.110000
80,04/27/23,124.440000,126.010000,123.140000,125.700000,4252135.000000,124.840000,63282,0.015020,313.260000
81,04/28/23,125.150000,127.070000,124.960000,126.720000,4421419.000000,126.360000,68912,0.008110,171.790000
82,05/01/23,126.920000,128.680000,126.860000,127.920000,4112782.000000,127.950000,69763,0.009470,202.110000
83,05/02/23,127.150000,127.580000,125.160000,127.260000,3831644.000000,126.880000,66372,-0.005160,-111.160000
84,05/03/23,125.490000,128.380000,123.670000,126.740000,4560081.000000,126.420000,79910,-0.004090,-87.580000
85,05/04/23,124.940000,125.180000,122.820000,123.670000,6177127.000000,123.830000,88624,-0.024220,-517.050000
86,05/05/23,125.930000,127.030000,125.220000,126.590000,4887759.000000,126.330000,73195,0.023610,491.790000
87,05/08/23,127.260000,127.690000,125.980000,126.880000,3892645.000000,126.790000,54235,0.002290,48.840000
