return_id,Date,Return Forex,Return ETF,Return Nike,Return Deckers,Return Spotify,Total Returns
1,01/01/23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,01/02/23,-17.960000,0.000000,0.000000,0.000000,0.000000,-17.960000
3,01/03/23,-80.030000,0.000000,0.000000,0.000000,0.000000,-80.030000
4,01/04/23,74.730000,223.930000,414.320000,9.120000,-347.990000,374.110000
5,01/05/23,-122.980000,-170.620000,-99.370000,66.030000,152.630000,-174.310000
6,01/06/23,153.100000,415.880000,658.530000,31.990000,1196.580000,2456.080000
7,01/08/23,22.590000,0.000000,0.000000,0.000000,0.000000,22.590000
8,01/09/23,52.880000,67.540000,53.890000,106.360000,915.750000,1196.420000
9,01/10/23,-26.900000,39.100000,166.740000,1.930000,3510.380000,3691.250000
10,01/11/23,5.880000,117.300000,353.680000,57.290000,586.080000,1120.230000
11,01/12/23,46.510000,227.490000,-8.420000,80.420000,-335.780000,10.220000
12,01/13/23,13.240000,81.750000,161.680000,53.950000,525.030000,835.650000
13,01/14/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
14,01/15/23,-5.540000,0.000000,0.000000,0.000000,0.000000,-5.540000
15,01/16/23,-12.580000,0.000000,0.000000,0.000000,0.000000,-12.580000
16,01/17/23,62.810000,46.210000,-119.580000,-11.820000,-189.260000,-211.640000
17,01/18/23,51.310000,-71.090000,-288.000000,4.370000,598.290000,294.880000
18,01/19/23,38.650000,-17.770000,-320.000000,-43.680000,518.930000,176.130000
19,01/20/23,-3.060000,163.510000,352.000000,13.620000,2643.470000,3169.540000
20,01/22/23,14.230000,0.000000,0.000000,0.000000,0.000000,14.230000
21,01/23/23,-22.510000,67.540000,281.260000,54.980000,1239.320000,1620.590000
22,01/24/23,-39.060000,-3.550000,-245.890000,5.910000,-396.830000,-679.420000
23,01/25/23,65.290000,81.750000,-1.680000,-28.130000,451.770000,569.000000
24,01/26/23,3.560000,49.760000,119.580000,6.040000,775.340000,954.280000
25,01/27/23,-28.140000,-17.770000,0.000000,70.520000,573.870000,598.480000
26,01/28/23,0.830000,0.000000,0.000000,0.000000,0.000000,0.830000
27,01/29/23,15.310000,0.000000,0.000000,0.000000,0.000000,15.310000
28,01/30/23,-42.870000,-135.070000,-195.370000,-79.130000,-1367.520000,-1819.960000
29,01/31/23,-32.850000,99.530000,161.680000,91.590000,7765.570000,8085.520000
30,02/01/23,65.290000,145.730000,365.470000,11.690000,3308.910000,3897.090000
31,02/02/23,-138.860000,-3.550000,-74.110000,-90.690000,2704.520000,2397.310000
32,02/03/23,-142.420000,-184.830000,-244.210000,-89.540000,-854.700000,-1515.700000
33,02/04/23,0.830000,0.000000,0.000000,0.000000,0.000000,0.830000
34,02/05/23,-4.300000,0.000000,0.000000,0.000000,0.000000,-4.300000
35,02/06/23,-14.400000,-174.170000,-316.630000,23.890000,1068.380000,587.070000
36,02/07/23,22.840000,149.290000,-67.370000,17.860000,1501.830000,1624.450000
37,02/08/23,14.070000,-95.970000,-407.580000,-36.480000,-1037.850000,-1563.810000
38,02/09/23,36.990000,14.220000,-122.950000,77.460000,-1739.930000,-1734.210000
39,02/10/23,-42.780000,-46.210000,8.420000,-80.540000,2643.470000,2482.360000
40,02/11/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
41,02/13/23,72.740000,138.630000,491.790000,85.680000,-1733.820000,-944.980000
42,02/14/23,18.950000,14.220000,176.840000,27.360000,2307.690000,2545.060000
43,02/15/23,-113.130000,-81.750000,215.580000,-100.710000,1324.790000,1244.780000
44,02/16/23,-51.890000,-74.640000,-522.100000,-108.930000,-1648.350000,-2405.910000
45,02/17/23,57.600000,24.880000,77.470000,-20.940000,-146.520000,-7.510000
46,02/18/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
47,02/19/23,-11.250000,0.000000,0.000000,0.000000,0.000000,-11.250000
48,02/20/23,6.790000,0.000000,0.000000,0.000000,0.000000,6.790000
49,02/21/23,58.840000,-202.610000,-629.890000,-75.790000,-3040.290000,-3889.740000
50,02/22/23,-50.730000,-92.420000,-202.110000,40.210000,-170.940000,-475.990000
51,02/23/23,-25.410000,92.420000,10.110000,18.370000,-738.710000,-643.220000
52,02/24/23,-59.340000,-248.820000,-323.370000,-49.330000,-1050.060000,-1730.920000
53,02/25/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
54,02/26/23,5.130000,0.000000,0.000000,0.000000,0.000000,5.130000
55,02/27/23,93.020000,174.170000,82.530000,79.390000,-183.150000,245.960000
56,02/28/23,-24.410000,-113.740000,43.790000,128.070000,-329.670000,-295.960000
57,03/01/23,-5.210000,99.530000,-35.370000,-9.760000,549.450000,598.640000
58,03/02/23,-63.890000,24.880000,168.420000,67.440000,781.440000,978.290000
59,03/03/23,70.670000,231.040000,229.050000,97.240000,3211.230000,3839.230000
60,03/05/23,-5.710000,0.000000,0.000000,0.000000,0.000000,-5.710000
61,03/06/23,-2.230000,-39.100000,-129.680000,65.640000,1611.720000,1506.350000
62,03/07/23,-164.020000,-291.470000,-97.680000,-26.980000,-30.530000,-610.680000
63,03/08/23,18.620000,81.750000,45.470000,-12.200000,402.930000,536.570000
64,03/09/23,60.910000,-156.400000,-335.160000,-88.120000,-1868.130000,-2386.900000
65,03/10/23,91.610000,-152.840000,-64.000000,-145.030000,-1385.840000,-1656.100000
66,03/11/23,-2.480000,0.000000,0.000000,0.000000,0.000000,-2.480000
67,03/12/23,36.660000,0.000000,0.000000,0.000000,0.000000,36.660000
68,03/13/23,75.890000,-88.860000,-106.110000,-33.270000,1056.170000,903.820000
69,03/14/23,-13.240000,181.280000,360.420000,131.930000,1312.580000,1972.970000
70,03/15/23,-68.690000,-465.640000,-139.790000,-174.830000,67.160000,-781.790000
71,03/16/23,33.760000,234.600000,417.680000,133.080000,2173.380000,2992.500000
72,03/17/23,60.580000,-177.730000,-43.790000,-57.940000,-1294.260000,-1513.140000
73,03/18/23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,03/19/23,4.550000,0.000000,0.000000,0.000000,0.000000,4.550000
75,03/20/23,71.090000,174.170000,136.420000,42.010000,-415.140000,8.550000
76,03/21/23,-40.880000,199.050000,742.740000,313.050000,1465.200000,2679.160000
77,03/22/23,43.700000,-60.430000,-1029.050000,-84.650000,-372.410000,-1502.840000
78,03/23/23,3.640000,10.660000,247.580000,114.970000,1739.930000,2116.780000
79,03/24/23,-44.850000,-53.320000,-43.790000,6.550000,-1678.880000,-1814.290000
80,03/26/23,15.480000,0.000000,0.000000,0.000000,0.000000,15.480000
81,03/27/23,42.450000,135.070000,-488.420000,69.240000,720.390000,478.730000
82,03/28/23,27.640000,21.330000,10.110000,44.830000,-830.280000,-726.370000
83,03/29/23,-16.220000,177.730000,441.260000,1.280000,1068.380000,1672.430000
84,03/30/23,62.320000,195.500000,-65.680000,-48.430000,586.080000,729.790000
85,03/31/23,-34.010000,74.640000,427.790000,20.420000,1703.300000,2192.140000
86,04/02/23,-48.330000,0.000000,0.000000,0.000000,0.000000,-48.330000
87,04/03/23,110.480000,131.520000,-163.370000,51.260000,1721.610000,1851.500000
88,04/04/23,65.790000,-3.550000,340.210000,22.090000,-952.380000,-527.840000
89,04/05/23,-31.120000,-124.410000,-469.890000,-78.100000,-2216.120000,-2919.640000
90,04/06/23,-20.940000,53.320000,-114.530000,-35.840000,750.920000,632.930000
91,04/07/23,-12.990000,0.000000,0.000000,0.000000,0.000000,-12.990000
92,04/08/23,0.830000,0.000000,0.000000,0.000000,0.000000,0.830000
93,04/09/23,7.530000,0.000000,0.000000,0.000000,0.000000,7.530000
94,04/10/23,-33.020000,14.220000,284.630000,149.910000,-140.420000,275.320000
95,04/11/23,31.610000,71.090000,234.110000,-10.660000,-592.190000,-266.040000
96,04/12/23,50.900000,92.420000,60.630000,6.940000,-219.780000,-8.890000
97,04/13/23,27.230000,238.150000,466.530000,68.600000,2466.420000,3266.930000
98,04/14/23,-83.420000,-81.750000,-80.840000,50.480000,-134.310000,-329.840000
99,04/15/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
100,04/16/23,-18.210000,0.000000,0.000000,0.000000,0.000000,-18.210000
101,04/17/23,-21.520000,-14.220000,40.420000,11.050000,-586.080000,-570.350000
102,04/18/23,43.030000,63.980000,3.370000,122.550000,482.300000,715.230000
103,04/19/23,1.660000,-63.980000,-90.950000,41.750000,-616.610000,-728.130000
104,04/20/23,9.770000,7.110000,-205.470000,-13.750000,-140.420000,-342.760000
105,04/21/23,-3.970000,53.320000,181.890000,90.690000,262.520000,584.450000
106,04/23/23,11.090000,0.000000,0.000000,0.000000,0.000000,11.090000
107,04/24/23,42.700000,31.990000,262.740000,40.720000,-1410.260000,-1032.110000
108,04/25/23,-71.670000,-259.480000,-409.260000,-174.450000,4120.880000,3206.020000
109,04/26/23,47.010000,3.550000,-138.110000,29.290000,-3101.340000,-3159.600000
110,04/27/23,22.680000,206.160000,313.260000,-41.110000,-579.980000,-78.990000
111,04/28/23,59.090000,3.550000,171.790000,51.250000,873.020000,1158.700000
112,04/29/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
113,04/30/23,-7.860000,0.000000,0.000000,0.000000,0.000000,-7.860000
114,05/01/23,-60.660000,-14.220000,202.110000,85.040000,2948.720000,3160.990000
115,05/02/23,-6.700000,-174.170000,-111.160000,-13.360000,-1245.420000,-1550.810000
116,05/03/23,74.980000,31.990000,-87.580000,-0.130000,1019.540000,1038.800000
117,05/04/23,11.830000,-24.880000,-517.050000,-78.870000,1477.410000,868.440000
118,05/05/23,47.170000,263.030000,491.790000,83.110000,775.340000,1660.440000
119,05/07/23,-7.120000,0.000000,0.000000,0.000000,0.000000,-7.120000
120,05/08/23,-14.320000,7.110000,48.840000,121.010000,1697.190000,1859.830000
121,05/09/23,9.020000,-63.980000,-299.790000,28.900000,-506.720000,-832.570000
122,05/10/23,0.740000,-24.880000,-267.790000,-15.030000,2466.420000,2159.460000
123,05/11/23,-96.660000,-74.640000,-217.260000,-68.080000,-415.140000,-871.780000
124,05/12/23,-46.430000,-35.550000,-338.530000,1.800000,-2765.570000,-3184.280000
125,05/13/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
126,05/14/23,0.660000,0.000000,0.000000,0.000000,0.000000,0.660000
127,05/15/23,60.250000,142.180000,-64.000000,12.080000,1031.750000,1182.260000
128,05/16/23,-33.520000,-170.620000,-564.210000,-233.670000,1282.050000,280.030000
129,05/17/23,-2.570000,85.310000,84.210000,-38.020000,-195.360000,-66.430000
130,05/18/23,-57.020000,-31.990000,318.320000,27.490000,3345.540000,3602.340000
131,05/19/23,29.710000,99.530000,-692.210000,-227.630000,-1251.530000,-2042.130000
132,05/20/23,-0.830000,0.000000,0.000000,0.000000,0.000000,-0.830000
133,05/21/23,12.410000,0.000000,0.000000,0.000000,0.000000,12.410000
134,05/22/23,-22.680000,14.220000,-771.370000,18.110000,-506.720000,-1268.440000
135,05/23/23,-15.390000,-231.040000,-235.790000,-95.190000,-567.770000,-1145.180000
136,05/24/23,-38.900000,-231.040000,-82.530000,-108.680000,-384.620000,-845.770000
137,05/25/23,-43.860000,-35.550000,-136.420000,124.350000,372.410000,280.930000
138,05/26/23,24.830000,149.290000,5.050000,194.870000,1623.930000,1997.970000
139,05/28/23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140,05/29/23,1.990000,0.000000,0.000000,0.000000,0.000000,1.990000
141,05/30/23,53.210000,-138.630000,-166.740000,307.530000,-1404.150000,-1348.780000
142,05/31/23,27.230000,-156.400000,-212.210000,-181.380000,543.350000,20.590000
143,06/01/23,65.790000,245.260000,-274.530000,-128.330000,3064.710000,2972.900000
144,06/02/23,-61.320000,238.150000,698.950000,151.200000,-1330.890000,-303.910000
145,06/03/23,1.660000,0.000000,0.000000,0.000000,0.000000,1.660000
146,06/04/23,-18.290000,0.000000,0.000000,0.000000,0.000000,-18.290000
147,06/05/23,0.500000,-103.080000,-434.530000,115.360000,2808.300000,2386.550000
148,06/06/23,-2.650000,142.180000,166.740000,74.250000,-2020.760000,-1640.240000
149,06/07/23,13.410000,-156.400000,151.580000,84.650000,-2881.560000,-2788.320000
150,06/08/23,94.510000,167.060000,-149.890000,-91.850000,708.180000,728.010000
151,06/09/23,5.210000,-7.110000,-57.260000,-34.040000,616.610000,523.410000
152,06/10/23,0.830000,0.000000,0.000000,0.000000,0.000000,0.830000
153,06/11/23,11.670000,0.000000,0.000000,0.000000,0.000000,11.670000
154,06/12/23,-53.630000,74.640000,163.370000,161.340000,73.260000,418.980000
155,06/13/23,76.140000,159.950000,-8.420000,-130.640000,573.870000,670.900000
156,06/14/23,52.720000,42.650000,1024.000000,205.660000,67.160000,1392.190000
157,06/15/23,94.670000,156.400000,-75.790000,67.950000,323.570000,566.800000
158,06/16/23,31.940000,-49.760000,198.740000,8.990000,4768.010000,4957.920000
159,06/18/23,5.790000,0.000000,0.000000,0.000000,0.000000,5.790000
160,06/19/23,-31.940000,0.000000,0.000000,0.000000,0.000000,-31.940000
161,06/20/23,-21.760000,-376.780000,-682.110000,-56.140000,-1935.290000,-3072.080000
162,06/21/23,4.140000,24.880000,74.110000,22.990000,-543.350000,-417.230000
163,06/22/23,-19.700000,-99.530000,80.840000,-84.650000,1929.180000,1806.140000
164,06/23/23,-27.560000,-263.030000,-158.320000,33.010000,-976.800000,-1392.700000
165,06/24/23,1.660000,0.000000,0.000000,0.000000,0.000000,1.660000
166,06/25/23,11.340000,0.000000,0.000000,0.000000,0.000000,11.340000
167,06/26/23,-15.140000,49.760000,373.890000,42.650000,-2264.960000,-1813.800000
168,06/27/23,28.140000,131.520000,314.950000,33.400000,2954.820000,3462.830000
