Date,Close,Volume,Open,High,Low
07/09/2024,$311.55,1448723,$315.26,$315.43,$310.64
07/08/2024,$313.71,1733408,$321.94,$322.00,$309.01
07/05/2024,$316.85,939759,$315.00,$317.09,$313.53
07/03/2024,$314.80,661797,$315.30,$316.08,$311.01
07/02/2024,$315.55,913308,$314.02,$316.645,$309.43
07/01/2024,$313.84,1080524,$313.64,$314.42,$306.81
06/28/2024,$313.79,4934951,$315.39,$317.99,$306.21
06/27/2024,$315.38,1492581,$319.29,$324.56,$314.24
06/26/2024,$318.96,1245607,$320.00,$321.9999,$316.19
06/25/2024,$321.28,1040853,$317.91,$322.73,$312.615
06/24/2024,$314.99,1485067,$317.74,$319.50,$310.67
06/21/2024,$317.74,1399924,$311.71,$319.04,$308.40
06/20/2024,$313.89,1476162,$311.64,$317.30,$310.65
06/18/2024,$309.90,1218652,$310.00,$312.31,$305.4901
06/17/2024,$311.22,1326030,$312.67,$317.4519,$310.88
06/14/2024,$313.02,2047135,$307.23,$316.70,$305.85
06/13/2024,$306.01,2135640,$313.14,$314.8365,$300.79
06/12/2024,$315.49,1139403,$311.00,$316.11,$309.29
06/11/2024,$310.00,1808771,$319.00,$319.375,$306.08
06/10/2024,$309.00,1547978,$309.46,$312.16,$305.3656
06/07/2024,$308.21,2137706,$318.99,$319.05,$307.67
06/06/2024,$319.51,1229189,$325.00,$328.63,$318.10
06/05/2024,$324.75,1822724,$326.55,$331.08,$322.55
06/04/2024,$326.68,3484818,$312.64,$326.76,$310.50
06/03/2024,$313.62,2279225,$313.01,$317.00,$307.355
05/31/2024,$296.78,1478286,$301.89,$304.65,$292.21
05/30/2024,$304.69,704206,$305.45,$307.235,$301.59
05/29/2024,$307.52,1102964,$307.71,$309.155,$304.10
05/28/2024,$310.29,1080814,$307.00,$311.9999,$306.00
05/24/2024,$308.16,1165619,$298.00,$309.64,$298.00
05/23/2024,$300.51,1013271,$302.92,$305.82,$296.98
05/22/2024,$298.76,1376846,$306.00,$306.69,$295.71
05/21/2024,$304.93,1028925,$304.85,$307.98,$302.375
05/20/2024,$308.21,1487473,$303.00,$312.69,$303.00
05/17/2024,$302.82,893624,$299.95,$302.87,$298.12
05/16/2024,$298.12,1316061,$302.54,$304.92,$297.86
05/15/2024,$303.04,2013583,$298.85,$303.07,$295.39
05/14/2024,$290.12,917898,$287.72,$291.535,$286.205
05/13/2024,$289.71,898844,$294.65,$295.41,$287.17
05/10/2024,$294.60,943896,$300.21,$303.656,$293.08
05/09/2024,$298.66,844749,$298.88,$301.37,$294.2623
05/08/2024,$298.65,2108727,$297.55,$303.295,$296.17
05/07/2024,$298.05,1332258,$296.54,$299.83,$294.76
05/06/2024,$299.48,1395052,$298.00,$300.04,$294.62
05/03/2024,$296.07,1503922,$294.81,$298.82,$292.04
05/02/2024,$294.17,1627972,$287.515,$294.39,$283.39
05/01/2024,$284.54,1671864,$280.66,$290.88,$280.66
04/30/2024,$280.44,1258095,$287.00,$288.45,$280.37
04/29/2024,$286.24,1851897,$289.01,$290.91,$284.23
04/26/2024,$289.59,2477228,$292.65,$294.00,$284.84
04/25/2024,$289.02,3711405,$275.67,$291.375,$271.65
04/24/2024,$281.23,8241547,$301.35,$305.64,$278.14
04/23/2024,$303.31,11386190,$301.13,$319.30,$298.50
04/22/2024,$272.24,5589180,$280.97,$280.97,$267.76
04/19/2024,$275.83,4245510,$284.80,$285.00,$270.45
04/18/2024,$289.20,2027178,$294.78,$296.801,$288.67
04/17/2024,$293.58,1471279,$298.32,$300.045,$293.27
04/16/2024,$298.08,1585650,$291.13,$300.93,$289.01
04/15/2024,$290.52,1944005,$302.72,$304.59,$290.35
04/12/2024,$300.45,1419981,$301.00,$303.355,$299.00
04/11/2024,$303.57,1134701,$300.79,$305.74,$299.02
04/10/2024,$299.99,1511202,$297.79,$303.45,$296.00
04/09/2024,$300.73,2541840,$308.60,$309.585,$299.11
04/08/2024,$309.07,1721212,$309.20,$313.1591,$307.41
04/05/2024,$310.31,2988374,$298.68,$313.068,$298.68
04/04/2024,$295.96,3554016,$293.00,$304.00,$292.75
04/03/2024,$291.77,4630849,$285.04,$293.00,$279.00
04/02/2024,$269.58,1930591,$261.44,$270.72,$261.38
04/01/2024,$266.43,1122824,$262.97,$267.24,$260.80
03/28/2024,$263.90,1371668,$258.53,$268.545,$258.00
03/27/2024,$260.20,1427218,$267.00,$269.72,$257.56
03/26/2024,$262.81,1956367,$273.01,$278.30,$262.65
03/25/2024,$261.92,824685,$263.01,$264.95,$260.89
03/22/2024,$264.95,868220,$259.38,$265.46,$258.89
03/21/2024,$259.64,1097571,$264.21,$264.67,$258.50
03/20/2024,$261.72,1587644,$256.17,$262.41,$254.42
03/19/2024,$252.76,1067565,$253.95,$254.78,$249.58
03/18/2024,$254.15,885934,$257.00,$257.675,$251.61
03/15/2024,$254.89,1432147,$256.99,$256.99,$252.51
03/14/2024,$257.13,847131,$257.55,$259.40,$255.59
03/13/2024,$257.26,924816,$258.27,$260.49,$255.38
03/12/2024,$258.09,1351010,$255.50,$259.736,$254.955
03/11/2024,$254.45,2489454,$258.50,$259.00,$253.25
03/08/2024,$259.40,1968096,$269.50,$272.44,$259.24
03/07/2024,$270.35,921483,$268.00,$271.72,$266.02
03/06/2024,$268.03,1181270,$270.00,$272.0775,$267.42
03/05/2024,$267.00,2482498,$268.36,$270.265,$263.28
03/04/2024,$270.00,2793041,$263.56,$271.56,$262.49
03/01/2024,$263.75,2303948,$256.15,$263.82,$254.54
02/29/2024,$256.41,1336493,$254.36,$257.36,$252.765
