spotify_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
1,01/03/23,81.880000,81.990000,79.240000,81.900000,1286955.000000,81.160000,24269,0.000000,0.000000
2,01/04/23,83.000000,83.370000,80.870000,81.330000,1842924.000000,81.680000,35424,-0.006960,-347.990000
3,01/05/23,80.610000,82.610000,79.140000,81.580000,1557126.000000,81.520000,30070,0.003070,152.630000
4,01/06/23,82.650000,84.250000,79.850000,83.540000,1185283.000000,82.770000,24672,0.024030,1196.580000
5,01/09/23,84.450000,86.320000,83.770000,85.040000,1376855.000000,85.270000,27262,0.017960,915.750000
6,01/10/23,84.860000,91.000000,84.690000,90.790000,2044774.000000,89.410000,39651,0.067620,3510.380000
7,01/11/23,91.320000,93.280000,90.080000,91.750000,1608682.000000,91.550000,34994,0.010570,586.080000
8,01/12/23,89.140000,91.670000,88.410000,91.200000,1774620.000000,90.970000,30923,-0.005990,-335.780000
9,01/13/23,90.680000,92.080000,90.360000,92.060000,2135224.000000,91.430000,37207,0.009430,525.030000
10,01/17/23,92.080000,92.730000,90.590000,91.750000,1752142.000000,91.670000,29333,-0.003370,-189.260000
11,01/18/23,92.730000,93.560000,90.940000,92.730000,2235423.000000,92.300000,32937,0.010680,598.290000
12,01/19/23,91.370000,94.520000,91.140000,93.580000,2280827.000000,92.920000,40179,0.009170,518.930000
13,01/20/23,96.100000,98.280000,95.610000,97.910000,2761302.000000,97.530000,43692,0.046270,2643.470000
14,01/23/23,102.390000,104.000000,99.380000,99.940000,4690795.000000,100.840000,73375,0.020730,1239.320000
15,01/24/23,99.000000,100.510000,97.950000,99.290000,1482218.000000,99.600000,28627,-0.006500,-396.830000
16,01/25/23,97.180000,100.060000,94.350000,100.030000,2180443.000000,98.010000,33433,0.007450,451.770000
17,01/26/23,101.290000,102.170000,99.690000,101.300000,1505320.000000,100.970000,26108,0.012700,775.340000
18,01/27/23,100.520000,103.310000,100.320000,102.240000,1753825.000000,102.110000,29123,0.009280,573.870000
19,01/30/23,101.070000,102.430000,99.800000,100.000000,2322834.000000,100.570000,40795,-0.021910,-1367.520000
20,01/31/23,109.370000,113.300000,106.310000,112.720000,9453180.000000,110.530000,122850,0.127200,7765.570000
21,02/01/23,113.370000,119.600000,111.630000,118.140000,4556548.000000,115.660000,73071,0.048080,3308.910000
22,02/02/23,120.780000,123.980000,118.850000,122.570000,5198385.000000,121.710000,85192,0.037500,2704.520000
23,02/03/23,118.080000,123.820000,118.000000,121.170000,2553256.000000,121.510000,54024,-0.011420,-854.700000
24,02/06/23,123.500000,125.630000,121.370000,122.920000,3348279.000000,123.220000,54083,0.014440,1068.380000
25,02/07/23,121.770000,126.040000,121.360000,125.380000,2884809.000000,124.420000,40944,0.020010,1501.830000
26,02/08/23,124.400000,125.270000,122.860000,123.680000,1494764.000000,123.960000,29529,-0.013560,-1037.850000
27,02/09/23,125.800000,126.660000,120.120000,120.830000,1433615.000000,122.940000,27636,-0.023040,-1739.930000
28,02/10/23,125.000000,127.790000,124.120000,125.160000,3801159.000000,125.410000,55534,0.035840,2643.470000
29,02/13/23,125.870000,126.440000,122.300000,122.320000,1958480.000000,123.760000,34910,-0.022690,-1733.820000
30,02/14/23,121.520000,126.260000,120.320000,126.100000,1435092.000000,124.480000,25894,0.030900,2307.690000
31,02/15/23,125.370000,128.680000,124.890000,128.270000,1721719.000000,127.760000,30755,0.017210,1324.790000
32,02/16/23,125.740000,128.980000,125.470000,125.570000,1639576.000000,126.890000,28402,-0.021050,-1648.350000
33,02/17/23,123.930000,125.570000,122.490000,125.330000,1438784.000000,124.650000,27271,-0.001910,-146.520000
34,02/21/23,121.110000,123.780000,119.260000,120.350000,1731536.000000,121.240000,30589,-0.039740,-3040.290000
35,02/22/23,120.250000,120.920000,118.190000,120.070000,1919322.000000,119.880000,30032,-0.002330,-170.940000
36,02/23/23,121.050000,121.700000,116.500000,118.860000,1356733.000000,118.570000,25517,-0.010080,-738.710000
37,02/24/23,116.440000,117.410000,114.900000,117.140000,1612323.000000,116.240000,28693,-0.014470,-1050.060000
38,02/27/23,117.760000,118.500000,115.480000,116.840000,1593663.000000,116.800000,29604,-0.002560,-183.150000
39,02/28/23,116.480000,119.390000,116.220000,116.300000,1198707.000000,117.190000,23463,-0.004620,-329.670000
40,03/01/23,117.920000,118.220000,115.910000,117.200000,1314629.000000,117.140000,23178,0.007740,549.450000
41,03/02/23,115.060000,119.010000,114.640000,118.480000,870041.000000,117.470000,16706,0.010920,781.440000
42,03/03/23,119.600000,123.900000,119.540000,123.740000,1779526.000000,122.630000,34930,0.044400,3211.230000
43,03/06/23,124.040000,128.320000,124.040000,126.380000,2092609.000000,126.630000,32915,0.021340,1611.720000
44,03/07/23,127.110000,129.600000,125.070000,126.330000,2110459.000000,126.610000,40492,-0.000400,-30.530000
45,03/08/23,126.000000,127.640000,124.740000,126.990000,1271443.000000,126.440000,26279,0.005220,402.930000
46,03/09/23,127.000000,131.330000,123.600000,123.930000,2346043.000000,126.440000,41677,-0.024100,-1868.130000
47,03/10/23,123.680000,123.700000,119.810000,121.660000,1571122.000000,121.740000,30646,-0.018320,-1385.840000
48,03/13/23,120.200000,125.050000,118.550000,123.390000,1569476.000000,123.140000,35079,0.014220,1056.170000
49,03/14/23,125.120000,127.580000,124.440000,125.540000,1638828.000000,125.600000,27873,0.017420,1312.580000
50,03/15/23,123.410000,125.880000,121.470000,125.650000,1653622.000000,124.320000,32719,0.000880,67.160000
51,03/16/23,125.660000,130.080000,124.240000,129.210000,1407792.000000,128.440000,28610,0.028330,2173.380000
52,03/17/23,128.750000,129.690000,126.240000,127.090000,1665426.000000,127.250000,25555,-0.016410,-1294.260000
53,03/20/23,125.340000,127.450000,124.570000,126.410000,1525919.000000,126.020000,28060,-0.005350,-415.140000
54,03/21/23,127.500000,129.620000,126.720000,128.810000,1475092.000000,128.630000,25033,0.018990,1465.200000
55,03/22/23,132.280000,133.310000,127.900000,128.200000,1793769.000000,130.120000,31751,-0.004740,-372.410000
56,03/23/23,129.000000,133.500000,128.780000,131.050000,1146332.000000,131.340000,23965,0.022230,1739.930000
57,03/24/23,130.190000,130.560000,127.130000,128.300000,1452059.000000,128.420000,28786,-0.020980,-1678.880000
58,03/27/23,128.750000,131.770000,128.380000,129.480000,1670372.000000,129.750000,26115,0.009200,720.390000
59,03/28/23,128.630000,128.940000,126.830000,128.120000,1148792.000000,127.750000,19432,-0.010500,-830.280000
60,03/29/23,129.590000,130.250000,128.570000,129.870000,803812.000000,129.580000,17102,0.013660,1068.380000
61,03/30/23,130.900000,131.620000,129.860000,130.830000,842381.000000,130.640000,18499,0.007390,586.080000
62,03/31/23,130.970000,134.360000,130.520000,133.620000,1572510.000000,133.320000,25640,0.021330,1703.300000
63,04/03/23,132.370000,136.720000,131.770000,136.440000,1265908.000000,135.240000,25580,0.021100,1721.610000
64,04/04/23,135.990000,136.660000,133.680000,134.880000,1000236.000000,134.610000,22789,-0.011430,-952.380000
65,04/05/23,133.990000,134.230000,130.300000,131.250000,1046820.000000,131.380000,21861,-0.026910,-2216.120000
66,04/06/23,130.080000,133.290000,129.070000,132.480000,778906.000000,132.110000,17528,0.009370,750.920000
67,04/10/23,130.090000,132.740000,129.050000,132.250000,782440.000000,131.650000,19465,-0.001740,-140.420000
68,04/11/23,133.360000,134.890000,130.860000,131.280000,912136.000000,131.900000,22258,-0.007330,-592.190000
69,04/12/23,133.090000,134.280000,130.440000,130.920000,1117010.000000,131.530000,23866,-0.002740,-219.780000
70,04/13/23,132.400000,135.130000,132.210000,134.960000,1120675.000000,134.610000,23779,0.030860,2466.420000
71,04/14/23,134.030000,135.820000,132.770000,134.740000,978833.000000,134.150000,23617,-0.001630,-134.310000
72,04/17/23,134.070000,134.380000,131.460000,133.780000,1076654.000000,133.330000,24473,-0.007120,-586.080000
73,04/18/23,136.160000,136.290000,133.560000,134.570000,1052237.000000,134.640000,23861,0.005910,482.300000
74,04/19/23,132.610000,135.380000,131.730000,133.560000,1015187.000000,133.760000,25423,-0.007510,-616.610000
75,04/20/23,132.240000,134.770000,132.240000,133.330000,778402.000000,133.400000,19575,-0.001720,-140.420000
76,04/21/23,134.120000,134.120000,131.560000,133.760000,1362079.000000,133.180000,25736,0.003230,262.520000
77,04/24/23,133.100000,134.220000,130.210000,131.450000,2946809.000000,131.740000,51869,-0.017270,-1410.260000
78,04/25/23,140.500000,145.880000,136.710000,138.200000,8215926.000000,139.150000,104663,0.051350,4120.880000
79,04/26/23,138.530000,140.090000,133.030000,133.120000,2519160.000000,135.800000,45880,-0.036760,-3101.340000
80,04/27/23,133.960000,134.070000,130.900000,132.170000,1991547.000000,132.080000,34275,-0.007140,-579.980000
81,04/28/23,131.040000,133.600000,128.670000,133.600000,1635497.000000,132.120000,29738,0.010820,873.020000
82,05/01/23,134.000000,138.500000,133.880000,138.430000,1530793.000000,136.950000,29083,0.036150,2948.720000
83,05/02/23,138.020000,138.160000,135.040000,136.390000,1390027.000000,136.260000,25418,-0.014740,-1245.420000
84,05/03/23,135.910000,140.990000,135.910000,138.060000,1670083.000000,138.760000,29751,0.012240,1019.540000
85,05/04/23,137.480000,140.950000,136.590000,140.480000,1607934.000000,139.380000,27238,0.017530,1477.410000
86,05/05/23,141.320000,142.390000,139.290000,141.750000,1234203.000000,141.260000,26431,0.009040,775.340000
87,05/08/23,141.960000,146.000000,141.960000,144.530000,1851170.000000,144.660000,30844,0.019610,1697.190000
88,05/09/23,143.580000,144.840000,142.920000,143.700000,1374035.000000,143.670000,23964,-0.005740,-506.720000
89,05/10/23,145.000000,147.990000,143.570000,147.740000,1715127.000000,146.710000,29013,0.028110,2466.420000
90,05/11/23,148.160000,149.620000,146.620000,147.060000,1319478.000000,147.940000,30535,-0.004600,-415.140000
91,05/12/23,146.700000,147.080000,141.120000,142.530000,1686952.000000,142.660000,34684,-0.030800,-2765.570000
92,05/15/23,141.870000,144.300000,141.100000,144.220000,1502515.000000,143.180000,28839,0.011860,1031.750000
93,05/16/23,144.220000,146.840000,143.040000,146.320000,1355173.000000,145.170000,26210,0.014560,1282.050000
94,05/17/23,146.790000,147.550000,145.450000,146.000000,1226158.000000,146.480000,23843,-0.002190,-195.360000
95,05/18/23,145.460000,152.070000,144.760000,151.480000,1667130.000000,148.950000,34049,0.037530,3345.540000
96,05/19/23,151.210000,152.300000,148.450000,149.430000,1221572.000000,149.660000,25211,-0.013530,-1251.530000
97,05/22/23,148.650000,150.820000,148.210000,148.600000,973202.000000,149.260000,21761,-0.005550,-506.720000
98,05/23/23,148.160000,151.160000,147.480000,147.670000,1445619.000000,148.870000,27578,-0.006260,-567.770000
99,05/24/23,145.700000,148.540000,144.810000,147.040000,1085505.000000,147.480000,22850,-0.004270,-384.620000
100,05/25/23,149.350000,149.850000,147.540000,147.650000,1107421.000000,148.530000,23075,0.004150,372.410000
101,05/26/23,148.000000,151.010000,146.820000,150.310000,1009976.000000,150.070000,20061,0.018020,1623.930000
102,05/30/23,151.850000,151.850000,144.570000,148.010000,2294417.000000,147.790000,34732,-0.015300,-1404.150000
103,05/31/23,146.080000,149.950000,145.400000,148.900000,1092156.000000,148.700000,23106,0.006010,543.350000
104,06/01/23,150.200000,154.600000,149.070000,153.920000,1121440.000000,152.910000,27251,0.033710,3064.710000
105,06/02/23,154.300000,155.000000,148.770000,151.740000,1164038.000000,152.040000,27605,-0.014160,-1330.890000
106,06/05/23,151.100000,157.130000,150.250000,156.340000,1987621.000000,155.480000,39535,0.030320,2808.300000
107,06/06/23,154.100000,154.870000,152.460000,153.030000,1127719.000000,153.630000,25399,-0.021170,-2020.760000
108,06/07/23,153.000000,155.680000,147.540000,148.310000,1558223.000000,149.850000,31406,-0.030840,-2881.560000
109,06/08/23,150.270000,151.690000,148.470000,149.470000,1219002.000000,149.750000,25254,0.007820,708.180000
110,06/09/23,149.500000,151.730000,148.360000,150.480000,2033197.000000,150.320000,34942,0.006760,616.610000
111,06/12/23,150.890000,151.370000,149.120000,150.600000,1522243.000000,150.050000,26351,0.000800,73.260000
112,06/13/23,151.530000,152.740000,149.370000,151.540000,1917745.000000,151.530000,35537,0.006240,573.870000
113,06/14/23,151.960000,153.080000,149.260000,151.650000,1750862.000000,151.880000,31811,0.000730,67.160000
114,06/15/23,150.080000,152.240000,148.200000,152.180000,1374456.000000,151.370000,29064,0.003490,323.570000
115,06/16/23,153.310000,160.630000,153.200000,159.990000,3532881.000000,158.230000,48178,0.051320,4768.010000
116,06/20/23,156.200000,158.780000,154.820000,156.820000,1586267.000000,156.490000,31565,-0.019810,-1935.290000
117,06/21/23,159.300000,160.800000,152.800000,155.930000,2620542.000000,156.570000,45608,-0.005680,-543.350000
118,06/22/23,154.450000,159.170000,153.500000,159.090000,1280893.000000,157.700000,24893,0.020270,1929.180000
119,06/23/23,157.050000,158.310000,154.650000,157.490000,1263792.000000,157.140000,24677,-0.010060,-976.800000
120,06/26/23,156.410000,158.210000,152.710000,153.780000,1720330.000000,154.910000,31255,-0.023560,-2264.960000
121,06/27/23,156.140000,159.750000,155.570000,158.620000,1041941.000000,158.120000,23123,0.031470,2954.820000
